Medicamento1 Medicamento2 Clase
LISINOPRIL VIRAMUNE 0
LITHOBID DENAVIR 0
LITHOBID LEVBID 1
LITHOBID LITHOSTAT 1
LITHOBID PERCOCET 0
LITHOSTAT CHLORPROMAZINE 0
LITHOSTAT LITHOBID 1
LITHOSTAT RETROVIR 0
LODINE CODEINE 1
LODINE IODINE 1
LOMOTIL HEPARIN 0
LOMOTIL LAMICTAL 1
LOMOTIL LAMISIL 1
LOMOTIL LANOXIN 1
LOMOTIL LASIX 1
LOMOVIL LANOXIN 1
LOMOVIL LAXIS 1
LONITEN LOTENSIN 1
LONOX FLUCYTOSINE 0
LONOX LANOXIN 1
LONOX RESERPINE 0
LOPID AMIKIN 0
LOPID CENTOXIN 0
LOPID ERYTHROMYCIN 0
LOPID LEVBID 1
LOPID LORABID 1
LOPID PREVACID 0
LOPID SLO@BID 1
LORABID BUMEX 0
LORABID LEVBID 1
LORABID LOPID 1
LORABID LORTAB 1
LORABID SLO@BID 1
LORAZEPAM ALPRAZOLAM 1
LORAZEPAM CLONAZEPAM 1
LORAZEPAM DIAZEPAM 1
LORAZEPAM GUANFACINE 0
LORTAB CORTEF 1
LORTAB LORABID 1
LORTAB LURIDE 1
LORTAB PINDOLOL 0
LOSARTAN VALSARTAN 1
LOTENSIN LIORESAL 1
LOTENSIN LONITEN 1
LOTENSIN LOVASTATIN 1
LOTRIMIN CENTOXIN 0
LOTRIMIN LOTRISONE 1
LOTRISONE LOTRIMIN 1
LOTRISONE ROXICET 0
LOTRONEX ADDERALL 0
LOTRONEX BETAGAN 0
LOTRONEX LOVENOX 1
LOTRONEX PROTONIX 1
LOTRONEX VINBLASTINE 0
LOVASTATIN LOTENSIN 1
LOVASTATIN NOROXIN 0
LOVENOX LOTRONEX 1
LOXITANE CEFPROZIL 0
LOXITANE SORIATANE 1
LUDIOMIL LAMICTAL 1
LUDIOMIL SYMMETREL 0
LURIDE LORTAB 1
LUVOX ACCOLATE 0
LUVOX LASIX 1
LUVOX LEVOXYL 1
LUVOX REGLAN 0
MEDI@GESIC DOBUTAMINE 0
MEDI@GESIC HALDOL 0
MEDI@GESIC MEDIGESIC 1
MEDIGESIC ACCOLATE 0
MEDIGESIC MEDI@GESIC 1
MEDIGESIC NEORAL 0
MEDROXYPROGESTERONE METHYLPREDNISOLONE 1
MEDROXYPROGESTERONE SEROPHENE 0
MEGACE REGLAN 1
MELPHALAN EREX 0
MELPHALAN MYLERAN 1
MERUVAX ATTENUVAX 1
METHADONE LEUKERAN 0
METHADONE METHYLPHENIDATE 1
METHADONE MICRONASE 0
METHADONE PRANDIN 0
METHADONE SYNAGIS 0
METHOTREXATE AMLODIPINE 0
METHOTREXATE DOXORUBICIN 0
METHOTREXATE METOLAZONE 1
METHOTREXATE PROVENTIL 0
METHYLDOPA DOBUTAMINE 0
METHYLDOPA L@DOPA 1
METHYLDOPA LEVODOPA 1
METHYLPHENIDATE LITHOSTAT 0
METHYLPHENIDATE METHADONE 1
METHYLPREDNISOLONE MEDROXYPROGESTERONE 1
METHYLPREDNISOLONE PREDNISONE 1
METHYLPREDNISOLONE TETRADECYL@SULFATE 0
METOCLOPRAMIDE METOLAZONE 1
METOCLOPRAMIDE TOBRADEX 0
METOLAZONE METHOTREXATE 1
METOLAZONE METOCLOPRAMIDE 1
METOLAZONE PEDIAZOLE 0
METOPROLOL MISOPROSTOL 1
MIACALCIN MICATIN 1
MICATIN MIACALCIN 1
MICATIN RESERPINE 0
MICATIN RIFAMPIN 0
MICRO@K BETAGAN 0
MICRO@K DIPHENATOL 0
MICRO@K MICRONASE 1
MICRONASE MICRO@K 1
MINOXIDIL COMBIVIR 0
MINOXIDIL MONOPRIL 1
MIRALAX MERUVAX 0
MIRALAX MIRAPEX 1
MIRALAX SINGULAIR 0
MIRAPEX AMANTADINE 0
MIRAPEX MIRALAX 1
MIRAPEX NICODERM 0
MIRAPEX RITONAVIR 0
MISOPROSTOL ALDARA 0
MISOPROSTOL METOPROLOL 1
MISOPROSTOL PRINIVIL 0
MITOMYCIN DESIPRAMINE 0
MITOMYCIN FOSAMAX 0
MITOMYCIN MITOXANTRONE 1
MITOXANTRONE CELEXA 0
MITOXANTRONE IMIPRAMINE 0
MITOXANTRONE LORAZEPAM 0
MITOXANTRONE MITOMYCIN 1
MONOKET CHLORPROMAZINE 0
MONOKET MONOPRIL 1
MONOPRIL ACCUPRIL 1
MONOPRIL ERYTHROCIN 0
MONOPRIL MINOXIDIL 1
MONOPRIL MONOKET 1
MORPHINE HYDROMORPHONE 1
MPM@GELPAD HYPERGEL 1
MYLERAN MELPHALAN 1
NAPRELAN NAPROSYN 1
NAPRELAN NASALIDE 0
NAPRELAN NEOCARE 0
NAPRELAN PROSOM 0
NAPRELAN PYRIDOXINE 0
NAPROSYN BREVITAL 0
NAPROSYN EQUAGESIC 0
NAPROSYN NAPRELAN 1
NARCAN NORCURON 1
NASALCROM ALUPENT 0
NASALCROM NASALIDE 1
NASALCROM VIRACEPT 0
NASALIDE NASALCROM 1
NASAREL CATAPRES 0
NASAREL NIZORAL 1
NASAREL TIAZAC 0
NATRU@VENT ATROVENT 1
NATRU@VENT VECURONIUM 0
NAVANE DEPAKOTE 0
NAVANE NORVASC 1
NAVANE PERMAX 0
NEBCIN NUBAIN 1
NEBCIN PROCHLORPERAZINE 0
NEBCIN ZOFRAN 0
NELFINAVIR LITHOSTAT 0
NELFINAVIR NEVIRAPINE 1
NEOCARE NEOCATE 1
NEOCATE GLUCOTROL 0
NEOCATE HALDOL 0
NEOCATE NEOCARE 1
NEOCATE PHENOBARBITAL 0
NEORAL EFUDEX 0
NEORAL NEURONTIN 1
NEORAL NIZORAL 1
NEORAL TOLBUTAMIDE 0
NEOSAR CYTOSAR@U 1
NEOSAR ROPIVACAINE 0
NEOSAR ROXANOL 0
NEOSAR UROCIT@K 0
NEPHROX ADDERALL 0
NEPHROX CYTOTEC 0
NEPHROX NIFEREX 1
NEUMEGA NEUPOGEN 1
NEUMEGA RISPERIDONE 0
NEUPOGEN LURIDE 0
NEUPOGEN NEUMEGA 1
NEURONTIN ADDERALL 0
NEURONTIN CYTOVENE 0
NEURONTIN NEORAL 1
NEURONTIN NOROXIN 1
NEUTRA@PHOS@K K@PHOS@NEUTRAL 1
NEVIRAPINE NELFINAVIR 1
NIACIN GLIPIZIDE 0
NIACIN LITHOSTAT 0
NIACIN NIASPAN 1
NIASPAN DEFEROXAMINE 0
NIASPAN MITOMYCIN 0
NIASPAN NIACIN 1
NICARDIPINE CELEBREX 0
NICARDIPINE NIFEDIPINE 1
NICARDIPINE NIMODIPINE 1
NICODERM NITRODERM 1
NIFEDIPINE ELDOPAQUE@FORTE 0
NIFEDIPINE NICARDIPINE 1
NIFEDIPINE NIMODIPINE 1
NIFEDIPINE PROCTOCREAM@HC 0
NIFEDIPINE VEPESID 0
NIFEREX NEPHROX 1
NIMBEX HALOPERIDOL 0
NIMBEX LEVOXYL 0
NIMBEX REVEX 1
NIMODIPINE AMBIEN 0
NIMODIPINE ATARAX 0
NIMODIPINE NICARDIPINE 1
NIMODIPINE NIFEDIPINE 1
NITRODERM NICODERM 1
NITRODERM OXYCODONE 0
NIZORAL IDAMYCIN 0
NIZORAL NASAREL 1
NIZORAL NEORAL 1
NORCURON NARCAN 1
NORCURON ZYBAN 0
NORFLEX NORFLOXACIN 1
NORFLEX NOROXIN 1
NORFLOXACIN LACRILUBE 0
NORFLOXACIN NORFLEX 1
NORFLOXACIN NOROXIN 1
NOROXIN NEURONTIN 1
NOROXIN NORFLEX 1
NOROXIN NORFLOXACIN 1
NORPRAMIN L@DOPA 0
NORPRAMIN NORTRIPTYLINE 1
NORTRIPTYLINE CEFPROZIL 0
NORTRIPTYLINE DESIPRAMINE 1
NORTRIPTYLINE LOTRISONE 0
NORTRIPTYLINE NORPRAMIN 1
NORVASC AZITHROMYCIN 0
NORVASC NAVANE 1
NORVASC RIDAURA 0
NUBAIN CYTOGAM 0
NUBAIN NEBCIN 1
OCU@MYCIN OCUMYCIN 1
OCUFEN CEREBYX 0
OCUFEN CYCLOPHOSPHAMIDE 0
OCUFEN OCUFLOX 1
OCUFEN OCUPRESS 1
OCUFEN SORIATANE 0
OCUFLOX OCUFEN 1
OCULAR@LUBRICANTS ACULAR 1
OCULAR@LUBRICANTS POTASSIUM@PHOSPHATES 0
OCUMYCIN OCU@MYCIN 1
OCUPRESS OCUFEN 1
OMNIPEN ALDARA 0
OMNIPEN IMIPENEM 1
OMNIPEN PROSOM 0
OPRELVEKIN ALDESLEUKIN 1
OPRELVEKIN DIAZEPAM 0
OPRELVEKIN REVEX 0
ORTHO@CEPT ORTHO@CYCLEN 1
ORTHO@CYCLEN DOXORUBICIN 0
ORTHO@CYCLEN ORTHO@CEPT 1
ORUVAIL CLINORIL 1
ORUVAIL ELAVIL 1
ORUVAIL PRINIVIL 0
ORUVAIL ZANTAC 0
OS@CAL ASACOL 1
OS@CAL NELFINAVIR 0
OSMITROL AMEN 0
OSMITROL DITROPAN 0
OSMITROL ESMOLOL 1
OXYBUTYNIN ACCUPRIL 0
OXYBUTYNIN LASIX 0
OXYBUTYNIN OXYCONTIN 1
OXYBUTYNIN PRINIVIL 0
OXYCODONE OXYCONTIN 1
OXYCODONE PERCODAN 0
OXYCONTIN DOPAMINE 0
OXYCONTIN GLIPIZIDE 0
OXYCONTIN OXYBUTYNIN 1
OXYCONTIN OXYCODONE 1
PACLITAXEL ANTISPAS 0
PACLITAXEL PAROXETINE 1
PACLITAXEL PAXIL 1
PARAFON@FORTE FAM@PREN@FORTE 1
PARAFON@FORTE ZEBETA 0
PARAPLATIN PLATINOL 1
PARAPLATIN RIFABUTIN 0
PARLODEL CEFOL 0
PARLODEL PINDOLOL 1
PARLODEL PROVERA 1
PAROXETINE PACLITAXEL 1
PAROXETINE PYRIDOXINE 1
PAXIL ATTENUVAX 0
PAXIL ETOMIDATE 0
PAXIL PACLITAXEL 1
PAXIL PLAVIX 1
PAXIL TAXOL 1
PAXIL ZIAC 0
PEDIAPRED CYPROHEPTADINE 0
PEDIAPRED PEDIAZOLE 1
PEDIAZOLE PEDIAPRED 1
PEDIAZOLE TRIHEXYPHENIDYL 0
PEDIAZOLE VERELAN 0
PEGASPARGASE AMILORIDE 0
PEGASPARGASE ASPARAGINASE 1
PEGASPARGASE OCUPRESS 0
PENICILLAMINE LACRILUBE 0
PENICILLAMINE PENICILLIN 1
PENICILLIN ACCUTANE 0
PENICILLIN PENICILLAMINE 1
PENICILLIN@G@POTASSIUM PENICILLIN@G@PROCAINE 1
PENICILLIN@G@PROCAINE PENICILLIN@G@POTASSIUM 1
PENTOBARBITAL PHENOBARBITAL 1
PERATIVE LANOXIL 0
PERATIVE OCULAR@LUBRICANTS 0
PERATIVE PERIACTIN 1
PERCEPTIN HERCEPTIN 1
PERCEPTIN VERAPAMIL 0
PERCOCET CYPROHEPTADINE 0
PERCOCET MEGACE 0
PERCOCET PERCODAN 1
PERCODAN CARDURA 0
PERCODAN PERCOCET 1
PERIACTIN PERATIVE 1
PERMAX BUMEX 1
PERMAX LEVOXINE 0
PERMAX SERTRALINE 0
PERMETHRIN NAPRELAN 0
PERMETHRIN PIPERONYL@BUTOXIDE 1
PERMETHRIN PYRETHRINS 1
PHENOBARBITAL PENTOBARBITAL 1
PINDOLOL CEFAZOLIN 0
PINDOLOL PARLODEL 1
PINDOLOL PLENDIL 1
PIPERONYL@BUTOXIDE AMRINONE 0
PIPERONYL@BUTOXIDE AVAPRO 0
PIPERONYL@BUTOXIDE NIFEDIPINE 0
PIPERONYL@BUTOXIDE OCULAR@LUBRICANTS 0
PIPERONYL@BUTOXIDE PERMETHRIN 1
PIPERONYL@BUTOXIDE PROCARDIA@XL 0
PITOCIN OCUFEN 0
PITOCIN PITRESSIN 1
PITOCIN VERELAN 0
PITRESSIN COUMADIN 0
PITRESSIN PITOCIN 1
PLATINOL LOXITANE 0
PLATINOL PARAPLATIN 1
PLAVIX ELAVIL 1
PLAVIX MIACALCIN 0
PLAVIX NIFEDIPINE 0
PLAVIX PAXIL 1
PLAVIX TORADOL 0
PLENDIL CEFOTAN 0
PLENDIL PINDOLOL 1
PLENDIL PLAVIX 0
PLENDIL PLETAL 1
PLENDIL PRILOSEC 1
PLENDIL PRINIVIL 1
PLETAL PLENDIL 1
PONDIMIN PREDNISONE 1
POTASSIUM@PHOSPHATES SODIUM@PHOSPHATES 1
PRANDIN ANTISPAS 0
PRANDIN AVANDIA 1
PRANDIN PARLODEL 0
PRANDIN TAMIFLU 0
PRAVACHOL LEVOXINE 0
PRAVACHOL PREVACID 1
PRAVACHOL PROPRANOLOL 1
PRECARE BENYLIN 0
PRECARE LURIDE 0
PRECARE PRECOSE 1
PRECARE VOLMAX 0
PRECOSE CEFOTAXIME 0
PRECOSE LONITEN 0
PRECOSE PRECARE 1
PREDNISONE METHYLPREDNISOLONE 1
PREDNISONE PONDIMIN 1
PREDNISONE PRILOSEC 1
PREDNISONE PRIMIDONE 1
PREMARIN ATROVENT 0
PREMARIN DITROPAN 0
PREMARIN PRIMAXIN 1
PREMARIN PROVERA 1
PREMPHASE AZITHROMYCIN 0
PREMPHASE PREMPRO 1
PREMPRO OCUMYCIN 0
PREMPRO PREMPHASE 1
PREPIDIL BEPRIDIL 1
PREPIDIL PAROXETINE 0
PREPIDIL PROTONIX 0
PREVACID PRAVACHOL 1
PREVACID PRINIVIL 1
PREVEN PREVEON 1
PREVEN PROPULSID 0
PREVEN THERAFLU 0
PREVEON DIPHENIDOL 0
PREVEON GLUCOTROL 0
PREVEON LEVOXYL 0
PREVEON LORABID 0
PREVEON PREVEN 1
PRILOSEC PLENDIL 1
PRILOSEC PREDNISONE 1
PRILOSEC PRINIVIL 1
PRILOSEC PROZAC 1
PRILOSEC RYNATUSS 0
PRIMAXIN PREMARIN 1
PRIMAXIN ZYVOX 0
PRIMIDONE ASPARAGINASE 0
PRIMIDONE PREDNISONE 1
PRINIVIL PLENDIL 1
PRINIVIL PREVACID 1
PRINIVIL PRILOSEC 1
PRINIVIL PROVENTIL 1
PROBENECID AKARPINE 0
PROBENECID CATAFLAM 0
PROBENECID DOXEPIN 0
PROBENECID K@DUR 0
PROBENECID PROCANBID 1
PROCANBID PROBENECID 1
PROCARDIA@XL CARTIA@XT 1
PROCARDIA@XL IMIPENEM 0
PROCARDIA@XL LEVOXINE 0
PROCARDIA@XL PRECOSE 0
PROCHLORPERAZINE CHLORPROMAZINE 1
PROCTOCORT FLUDARABINE 0
PROCTOCORT PROCTOCREAM@HC 1
PROCTOCREAM@HC PROCTOCORT 1
PROGRAF GENGRAF 1
PROGRAF HALDOL 0
PROPRANOLOL PRAVACHOL 1
PROPRANOLOL PROPULSID 1
PROPULSID DEPO@MEDROL 0
PROPULSID PROPRANOLOL 1
PROSCAR PROSOM 1
PROSCAR PROZAC 1
PROSOM DOBUTAMINE 0
PROSOM PROSCAR 1
PROSOM PROZAC 1
PROSOM ROXANOL 0
PROSOM SLO@BID 0
PROTONIX AMANTADINE 0
PROTONIX ANASPAZ 0
PROTONIX LOTRONEX 1
PROTONIX PLAVIX 0
PROTONIX RIMANTADINE 0
PROTONIX ROXANOL 0
PROTONIX SLO@BID 0
PROVENTIL AMILORIDE 0
PROVENTIL BENTYL 1
PROVENTIL PRINIVIL 1
PROVERA COVERA 1
PROVERA DYNABAC 0
PROVERA PARLODEL 1
PROVERA PREMARIN 1
PROVERA ROXICET 0
PROZAC GAMIMUNE@N 0
PROZAC PRILOSEC 1
PROZAC PROSCAR 1
PROZAC PROSOM 1
PYRETHRINS CLOZARIL 0
PYRETHRINS LOXITANE 0
PYRETHRINS NAVANE 0
PYRETHRINS NIACIN 0
PYRETHRINS PERMETHRIN 1
PYRIDOXINE CYTARABINE 0
PYRIDOXINE LEVBID 0
PYRIDOXINE PAROXETINE 1
QUINIDINE QUININE 1
QUINIDINE VISTARIL 0
QUININE AMOXICILLIN 0
QUININE OS@CAL 0
QUININE QUINIDINE 1
RANITIDINE AMANTADINE 1
RANITIDINE NEUMEGA 0
RANITIDINE RIMANTADINE 1
RATGAM ATGAM 1
RATGAM SLO@BID 0
REGLAN MEGACE 1
REGRANEX GRANULEX 1
RELAFEN CYTARABINE 0
RELAFEN REZULIN 1
REMEGEL CEREBRA 0
REMEGEL CYTOGAM 0
REMEGEL MEDIGESIC 0
REMEGEL RENAGEL 1
REMERON CITRACAL 0
REMERON PEGASPARGASE 0
REMERON ZEMURON 1
RENAGEL REMEGEL 1
RESERPINE GUAIFENESIN 0
RESERPINE HALDOL 0
RESERPINE RISPERDAL 1
RESERPINE RISPERIDONE 1
RESERPINE SELEGILINE 0
RETROVIR CAFERGOT 0
RETROVIR DEXFERRUM 0
RETROVIR MICRO@K 0
RETROVIR RITONAVIR 1
RETROVIR VINCRISTINE 0
REVEX DANAZOL 0
REVEX EQUIGESIC 0
REVEX NIMBEX 1
REVEX PITRESSIN 0
REVEX REVIA 1
REVIA DOPAMINE 0
REVIA REVEX 1
REVIA VIAGRA 0
REVIA VISTARIL 0
REVIA ZOLOFT 0
REZULIN RELAFEN 1
RIDAURA CARDURA 1
RIFABUTIN ERYTHROCIN 0
RIFABUTIN RIFAMPIN 1
RIFABUTIN SENOKOT 0
RIFAMPIN CARDIEM 0
RIFAMPIN CEFACLOR 0
RIFAMPIN CHLORPROPAMIDE 0
RIFAMPIN DOBUTAMINE 0
RIFAMPIN EVISTA 0
RIFAMPIN RIFABUTIN 1
RIMANTADINE AMANTADINE 1
RIMANTADINE RANITIDINE 1
RISPERDAL DIOVAL 0
RISPERDAL ISORDIL 0
RISPERDAL LISINOPRIL 1
RISPERDAL NIMODIPINE 0
RISPERDAL RESERPINE 1
RISPERDAL RISPERIDONE 1
RISPERDAL VERSED 0
RISPERIDONE RESERPINE 1
RISPERIDONE RISPERDAL 1
RITONAVIR RETROVIR 1
ROPIVACAINE BUPIVACAINE 1
ROPIVACAINE ETIDRONATE 0
ROXANOL PROCANBID 0
ROXANOL ROXICET 1
ROXICET ROXANOL 1
RYNATAN DIPHENHYDRAMINE 0
RYNATAN HYDROCODONE 0
RYNATAN LONITEN 0
RYNATAN RYNATUSS 1
RYNATUSS ACETAZOLAMIDE 0
RYNATUSS EREX 0
RYNATUSS LOTENSIN 0
RYNATUSS RYNATAN 1
SALBUTAMOL COMBIVIR 0
SALBUTAMOL SALMETEROL 1
SALMETEROL ELDOPAQUE@FORTE 0
SALMETEROL SALBUTAMOL 1
SARAFEM IDARUBICIN 0
SARAFEM NORFLEX 0
SARAFEM SEROPHENE 1
SARAFEM ZINECARD 0
SELEGILINE LASIX 0
SELEGILINE SERENTIL 1
SELEGILINE SERTRALINE 1
SELEGILINE SERZONE 1
SENOKOT CALCIFEROL 0
SENOKOT DEPAKOTE 1
SENOKOT FUDR 0
SERACULT HEMOCCULT 1
SERENTIL NEOCARE 0
SERENTIL SELEGILINE 1
SERENTIL SEROQUEL 1
SERENTIL SERTRALINE 1
SERENTIL SERZONE 1
SERENTIL SINEQUAN 1
SEROPHENE BREVIBLOC 0
SEROPHENE PENICILLIN@G@POTASSIUM 0
SEROPHENE SARAFEM 1
SEROPHENE STADOL 0
SEROQUEL CARDIZEM 0
SEROQUEL SERENTIL 1
SEROQUEL SERZONE 1
SERTRALINE ESTRATAB 0
SERTRALINE NIFEREX 0
SERTRALINE PREVACID 0
SERTRALINE SELEGILINE 1
SERTRALINE SERENTIL 1
SERTRALINE SERZONE 1
SERZONE HUMULIN 0
SERZONE SELEGILINE 1
SERZONE SERENTIL 1
SERZONE SEROQUEL 1
SERZONE SERTRALINE 1
SERZONE ZOSYN 0
SINEQUAN DOPAMINE 0
SINEQUAN SERENTIL 1
SINEQUAN SINGULAIR 1
SINGULAIR FIORICET 0
SINGULAIR SINEQUAN 1
SINGULAIR TIGAN 0
SLO@BID DOLOBID 1
SLO@BID LOPID 1
SLO@BID LORABID 1
SLO@BID METHYLPREDNISOLONE 0
SLO@BID VANTIN 0
SLO@BID VECURONIUM 0
SLO@BID XANAX 0
SODIUM@PHOSPHATES LORABID 0
SODIUM@PHOSPHATES ORTHO@CYCLEN 0
SODIUM@PHOSPHATES POTASSIUM@PHOSPHATES 1
SOLU@MEDROL CYCLOSERINE 0
SOLU@MEDROL DEPO@MEDROL 1
SOLU@MEDROL NASAREL 0
SORIATANE LOXITANE 1
SORIATANE PYRETHRINS 0
SORIATANE VOSOL 0
STADOL CYCLOSERINE 0
STADOL DOXEPIN 0
STADOL HALDOL 1
STADOL SINEQUAN 0
STADOL SUFENTANIL@CITRATE 0
SUFENTANIL@CITRATE FENTANYL@CITRATE 1
SULFADIAZINE RITONAVIR 0
SULFADIAZINE SULFASALAZINE 1
SULFASALAZINE LORTAB 0
SULFASALAZINE SULFADIAZINE 1
SULFASALAZINE SULFISOXAZOLE 1
SULFISOXAZOLE SULFASALAZINE 1
SULFISOXAZOLE TETRADECYL@SULFATE 0
SUMATRIPTAN ZOLMITRIPTAN 1
SURGILUBE DOXORUBICIN 0
SURGILUBE LACRILUBE 1
SURGILUBE LAXIS 0
SYMMETREL DIPHENIDOL 0
SYMMETREL SYNTHROID 1
SYNAGIS LAMOTRIGINE 0
SYNAGIS MISOPROSTOL 0
SYNAGIS SYNVISC 1
SYNAGIS VECURONIUM 0
SYNAGIS ZINECARD 0
SYNTHROID PONDIMIN 0
SYNTHROID SYMMETREL 1
SYNTHROID VIRACEPT 0
SYNVISC SYNAGIS 1
T@PA NASAREL 0
T@PA TNKASE 1
TAMIFLU CODEINE 0
TAMIFLU EURAX 0
TAMIFLU THERAFLU 1
TAXOL CLORAZEPATE 0
TAXOL PAXIL 1
TAXOL TAXOTERE 1
TAXOTERE TAXOL 1
TAXOTERE TETRADECYL@SULFATE 0
TEGRETOL DOLOBID 0
TEGRETOL TORADOL 1
TEGRETOL TRIPHASIL 0
TEMAZEPAM CARAFATE 0
TEMAZEPAM FLURAZEPAM 1
TENORMIN DIABETA 0
TENORMIN IMURAN 1
TENORMIN THIAMINE 1
TENORMIN TROVAN 1
TESTODERM ESTRADERM 1
TESTODERM ISORDIL 0
TETRACYCLINE TETRADECYL@SULFATE 1
TETRADECYL@SULFATE TEMAZEPAM 0
TETRADECYL@SULFATE TETRACYCLINE 1
THERAFLU TAMIFLU 1
THIAMINE PARLODEL 0
THIAMINE TENORMIN 1
TIAGABINE AMRINONE 0
TIAGABINE BEPRIDIL 0
TIAGABINE ETHMOZINE 0
TIAGABINE HYDROCORTISONE 0
TIAGABINE TIZANIDINE 1
TIAZAC TIGAN 1
TIAZAC ZIAC 1
TIGAN HERCEPTIN 0
TIGAN LONOX 0
TIGAN SUMATRIPTAN 0
TIGAN TIAZAC 1
TIZANIDINE TEGRETOL 0
TIZANIDINE TIAGABINE 1
TNKASE IMIPENEM 0
TNKASE T@PA 1
TOBRADEX TOBREX 1
TOBREX TOBRADEX 1
TOLAZAMIDE ETOMIDATE 0
TOLAZAMIDE ROXICET 0
TOLAZAMIDE TOLBUTAMIDE 1
TOLBUTAMIDE TOLAZAMIDE 1
TORADOL CHLORPROPAMIDE 0
TORADOL DEPAKOTE 0
TORADOL EQUIGESIC 0
TORADOL INDERAL 1
TORADOL TEGRETOL 1
TORADOL TORECAN 1
TORADOL TRAMADOL 1
TORECAN AMOXICILLIN 0
TORECAN OCU@MYCIN 0
TORECAN TORADOL 1
TORSEMIDE FUROSEMIDE 1
TORSEMIDE VINCRISTINE 0
TRAMADOL TORADOL 1
TRAMADOL VOLTAREN 1
TRANDATE TRIDRATE 1
TRI@NORINYL ALLOPURINOL 0
TRI@NORINYL NORVASC 0
TRI@NORINYL TRIPHASIL 1
TRIDRATE FLURAZEPAM 0
TRIDRATE LAMISIL 0
TRIDRATE TRANDATE 1
TRIFLUOPERAZINE TRIHEXYPHENIDYL 1
TRIHEXYPHENIDYL TRIFLUOPERAZINE 1
TRIPHASIL TRI@NORINYL 1
TRIPHASIL UREX 0
TROVAN AMANTADINE 0
TROVAN CHLORPROMAZINE 0
TROVAN TENORMIN 1
ULTANE ULTRAM 1
ULTRAM BUSPIRONE 0
ULTRAM IODINE 0
ULTRAM ULTANE 1
ULTRAM VOLTAREN 1
UREX EREX 1
UREX MICRO@K 0
URIDON PENICILLIN@G@POTASSIUM 0
URIDON VICODIN 1
URISED FLUOROURACIL 0
URISED LORTAB 0
URISED NIMODIPINE 0
URISED UROCIT@K 1
UROCIT@K URISED 1
VALSARTAN COUMADIN 0
VALSARTAN LIORESAL 0
VALSARTAN LOSARTAN 1
VALSARTAN PRILOSEC 0
VANCENASE NEPHROX 0
VANCENASE RANITIDINE 0
VANCENASE VANCERIL 1
VANCERIL FLUOROURACIL 0
VANCERIL MONOKET 0
VANCERIL VANCENASE 1
VANCOMYCIN CARDENE@SR 0
VANCOMYCIN VECURONIUM 1
VANCOMYCIN VICODIN 0
VANTIN HALOTESTIN 0
VANTIN LOVASTATIN 0
VANTIN VENTOLIN 1
VECURONIUM SYMMETREL 0
VECURONIUM VANCOMYCIN 1
VENTOLIN BENYLIN 1
VENTOLIN CYTOSAR@U 0
VENTOLIN EULEXIN 0
VENTOLIN OXYCODONE 0
VENTOLIN SELEGILINE 0
VENTOLIN VANTIN 1
VENTOLIN ZINECARD 0
VEPESID OS@CAL 0
VEPESID PYRETHRINS 0
VEPESID SYMMETREL 0
VEPESID VERSED 1
VERAPAMIL VERELAN 1
VERELAN DOPAMINE 0
VERELAN VANCENASE 0
VERELAN VERAPAMIL 1
VERELAN VIRILON 1
VERSED VEPESID 1
VERSED VISTARIL 1
VEXOL LAMIVUDINE 0
VEXOL VOSOL 1
VIAGRA ALLEGRA 1
VIAGRA ESMOLOL 0
VICODIN FIORICET 0
VICODIN PERIACTIN 0
VICODIN URIDON 1
VINBLASTINE TORADOL 0
VINBLASTINE VINCRISTINE 1
VINCRISTINE PIPERONYL@BUTOXIDE 0
VINCRISTINE VINBLASTINE 1
VIOXX NEORAL 0
VIOXX SULFISOXAZOLE 0
VIOXX ZYVOX 1
VIRACEPT NICODERM 0
VIRACEPT VANCERIL 0
VIRACEPT VIRAMUNE 1
VIRAMUNE PYRIDOXINE 0
VIRAMUNE VIRACEPT 1
VIRILON GUAIFENESIN 0
VIRILON VERELAN 1
VISTARIL VERSED 1
VISTARIL ZESTRIL 1
VOLMAX FLOMAX 1
VOLMAX LONOX 0
VOLTAREN CEFACLOR 0
VOLTAREN CISPLATIN 0
VOLTAREN FAM@PREN@FORTE 0
VOLTAREN LOVENOX 0
VOLTAREN TRAMADOL 1
VOLTAREN ULTRAM 1
VOSOL AMILORIDE 0
VOSOL ANASPAZ 0
VOSOL LOVENOX 0
VOSOL VEXOL 1
XANAX LANOXIN 1
XANAX METHADONE 0
XANAX TIAGABINE 0
XANAX ZANTAC 1
XANAX ZYRTEC 1
YOCON LOMOVIL 0
YOCON PROPULSID 0
YOCON ZOCOR 1
ZAGAM ZYBAN 1
ZANTAC DENAVIR 0
ZANTAC LOSARTAN 0
ZANTAC NEUPOGEN 0
ZANTAC PARLODEL 0
ZANTAC PITOCIN 0
ZANTAC PROCANBID 0
ZANTAC XANAX 1
ZANTAC ZOFRAN 1
ZANTAC ZYRTEC 1
ZEBETA DIABETA 1
ZEBETA METHOTREXATE 0
ZEMURON LOPID 0
ZEMURON PLAVIX 0
ZEMURON REMERON 1
ZEMURON UROCIT@K 0
ZESTRIL VISTARIL 1
ZIAC LAMIVUDINE 0
ZIAC TIAZAC 1
ZIAC VOLMAX 0
ZINACEF CYTOVENE 0
ZINACEF NAPROSYN 0
ZINACEF ZITHROMAX 1
ZINECARD GEMZAR 1
ZITHROMAX CARBOPLATIN 0
ZITHROMAX METOPROLOL 0
ZITHROMAX SLO@BID 0
